date,draw_time,d1,d2,d3,combo
2004-02-01,9PM,0,8,8,088
2004-02-02,9PM,4,4,3,443
2004-02-03,9PM,9,4,4,944
2004-02-04,9PM,6,0,2,602
2004-02-05,9PM,9,8,0,980
2004-02-06,9PM,9,3,1,931
2004-02-07,9PM,7,1,2,712
2004-02-08,9PM,3,0,7,307
2004-02-09,9PM,9,2,1,921
2004-02-10,9PM,0,6,0,060
2004-02-11,9PM,1,7,3,173
2004-02-12,9PM,0,1,2,012
2004-02-13,9PM,6,2,5,625
2004-02-14,9PM,4,1,1,411
2004-02-15,9PM,8,1,5,815
2004-02-16,9PM,0,3,7,037
2004-02-17,9PM,7,9,0,790
2004-02-18,9PM,6,8,1,681
2004-02-19,9PM,8,4,9,849
2004-02-20,9PM,3,0,6,306
2004-02-21,9PM,9,7,7,977
2004-02-22,9PM,4,1,6,416
2004-02-23,9PM,7,1,6,716
2004-02-24,9PM,3,8,5,385
2004-02-25,9PM,8,5,2,852
2004-02-26,9PM,9,7,4,974
2004-02-27,9PM,7,0,9,709
2004-02-28,9PM,4,3,1,431
2004-02-29,9PM,1,6,5,165
2004-03-01,9PM,5,8,9,589
2004-03-02,9PM,2,8,8,288
2004-03-03,9PM,8,0,0,800
2004-03-04,9PM,3,2,6,326
2004-03-05,9PM,2,9,2,292
2004-03-06,9PM,2,2,8,228
2004-03-07,9PM,8,2,5,825
2004-03-08,9PM,9,4,9,949
2004-03-09,9PM,9,4,4,944
2004-03-10,9PM,1,3,5,135
2004-03-11,9PM,3,4,3,343
2004-03-12,9PM,4,2,3,423
2004-03-13,9PM,2,1,4,214
2004-03-14,9PM,7,8,1,781
2004-03-15,9PM,9,2,7,927
2004-03-16,9PM,3,2,3,323
2004-03-17,9PM,4,8,4,484
2004-03-18,9PM,8,4,1,841
2004-03-19,9PM,0,1,0,010
2004-03-20,9PM,0,2,2,022
2004-03-21,9PM,4,3,6,436
2004-03-22,9PM,6,9,6,696
2004-03-23,9PM,0,3,7,037
2004-03-24,9PM,7,2,2,722
2004-03-25,9PM,1,0,3,103
2004-03-26,9PM,3,9,4,394
2004-03-27,9PM,4,6,2,462
2004-03-28,9PM,5,9,6,596
2004-03-29,9PM,4,3,9,439
2004-03-30,9PM,9,1,0,910
2004-03-31,9PM,0,6,3,063
2004-04-01,9PM,2,4,1,241
2004-04-02,9PM,8,6,2,862
2004-04-03,9PM,3,0,4,304
2004-04-04,9PM,1,6,1,161
2004-04-05,9PM,3,3,6,336
2004-04-06,9PM,9,1,8,918
2004-04-07,9PM,1,2,3,123
2004-04-12,9PM,1,3,4,134
2004-04-13,9PM,5,3,4,534
2004-04-14,9PM,9,2,1,921
2004-04-15,9PM,7,7,0,770
2004-04-16,9PM,6,1,0,610
2004-04-17,9PM,8,6,5,865
2004-04-18,9PM,8,4,3,843
2004-04-19,9PM,9,0,4,904
2004-04-20,9PM,3,4,7,347
2004-04-21,9PM,7,3,0,730
2004-04-22,9PM,3,6,4,364
2004-04-23,9PM,4,1,8,418
2004-04-24,9PM,3,7,7,377
2004-04-25,9PM,1,3,7,137
2004-04-26,9PM,0,6,8,068
2004-04-27,9PM,3,8,7,387
2004-04-28,9PM,5,9,9,599
2004-04-29,9PM,2,3,6,236
